review_rate,review_text,object_address,overall_rating,review_num,object_url,date_complete,postal_code,year,latitude_longitude,latitude,longitude
1,"Agents d'accueil à l'entrée très bien, mais la personne derrière le bureau d'une insolence rarement vu de nos jours.... Moqueuse car je n'étais pas au courant qu'il fallait une procuration pour se présenter à la place d'une autre personne. Il y a des façons de s'adresser aux gens !","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",janvier 2023,75012,2023.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
5,"Aujourd'hui vendredi 4/02/2022 sur les coups de 14h15 je suis venu à la cpam, une dame brune d'une cinquantaine d'années au cheveux court adorable comme tout à bien pris en charge ma demande avec tout le professionnalisme qu'il se doit. Je vous dit encore Merci.","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",février 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
1,"Déjà pour les horaires
Bornes en panne","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",février 2023,75012,2023.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
1,"Agents sans professionnalisme, interrompant la parole de manière intempestive et nous envoie congédier avant d'avoir pu terminer d'expliquer notre situation malgré le rendez-vous pris la veille par téléphone après 20 minutes d'attente.","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",mars 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
5,Merci aux personnel un accueil chaleureux,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",décembre 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
5,Merci pour tout les personnels et merci pour votre accueil chaleureux bravo 👏👏👏 …,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",octobre 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
5,"Suite erreur de traitement j’ai contacté la plate-forme téléphonique de la Cpam 75. Attente de 15 minutes, mais valant la peine. Personne agréable, compétente et pédagogue au bout du fil. Merci !","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",mai 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
1,On est passé avec ma femme enceinte pour faire la demande d’aide médicale de l’état mais j’ai l’impression que les gens qui travaille la bas ne sont pas pour vous aider à pour vous empêcher 🤦‍♂️ …,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",octobre 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
5,"Un service efficace, je n'ai presque pas attendu alors qu'il y avait du monde. Attention toutefois, ils ne font pas de régime général","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",décembre 2019,75012,2019.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
4,"Accueil chaleureux, j'ai été très bien accueillie et dirigée.","5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",avril 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557
