review_rate,review_text,object_address,overall_rating,review_num,object_url,date_complete,postal_code,year,latitude_longitude,latitude,longitude,sentiment
1,agent daccueil lentr tr bien personn derrir bureau dune insol rarement vu jour moqueus car ntai courant quil fallait procur prsenter place dune autr personn a faon sadress gen,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",janvier 2023,75012,2023.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
5,aujourdhui vendredi coup h venu cpam dame brune dune cinquantain dann cheveux court ador comm tout bien pri charg demand tout professionnalism quil doit dit encor merci,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",février 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
1,dj horair born pann,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",février 2023,75012,2023.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
1,agent san professionnalism interromp parol manir intempest envoi congdier avant davoir pu termin dexpliqu situat malgr rendezv pri veill tlphone apr minut dattent,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",mars 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
5,merci personnel accueil chaleureux,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",décembre 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
5,merci tout personnel merci accueil chaleureux bravo,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",octobre 2022,75012,2022.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
5,suit erreur traitement jai contact plateform tlphoniqu cpam attent minut valant pein personn agrabl comptent pdagogu bout fil merci,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",mai 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
1,pass femm enceint fair demand daid mdical ltat jai limpress gen travail ba aider empcher,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",octobre 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Positive
5,servic efficac nai presqu attendu alor quil mond attent toutefoi font rgime gnral,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",décembre 2019,75012,2019.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
4,accueil chaleureux jai tr bien accueilli dirig,"5 Rue de la Durance, 75012 Paris, France",3.7,50,"https://www.google.fr/maps/place/CPAM+Paris+12/@48.8370362,2.3885378,16.39z/data=!4m6!3m5!1s0x47e673c30ce76aed:0xb1b2d0f67387fa79!8m2!3d48.837866!4d2.3935733!16s%2Fg%2F11gmfyhp42",avril 2021,75012,2021.0,"(48.8381167, 2.3938557)",48.8381167,2.3938557,Negative
